Model,Omics,R2,RMSE,MAE,Rank_R2,Rank_RMSE,Rank_MAE
BiomedParse+CONCH (SPARRA),Radiopathomics,0.06944334953736786,12.053379165157999,9.815803059740881,1,1,4
BiomedParse+CHIEF (MEAN),Radiopathomics,0.06909232136943344,12.05565236188559,9.717651450574099,2,2,1
FMCIB+CONCH (MEAN),Radiopathomics,0.061593898088397325,12.104108872168263,9.798217345293871,3,3,3
BiomedParse+CONCH (MEAN),Radiopathomics,0.05848012561060678,12.124173867458428,9.892815828802597,4,4,13
BiomedParse+CHIEF (SPARRA),Radiopathomics,0.05749223834919226,12.130532828697394,9.837738299849045,5,5,6
BiomedParse+UNI (SPARRA),Radiopathomics,0.049263069004338744,12.183374441349033,9.823251595209591,6,6,5
BiomedParse (SPARRA),Radiomics,0.047684564114314876,12.193484251761653,9.939001709252747,7,7,20
CONCH (SPARRA),Pathomics,0.04657964505376755,12.200555914669604,9.878661729223165,8,8,12
BiomedParse+UNI (MEAN),Radiopathomics,0.04592720341386436,12.204729723901176,9.876767813979681,9,9,11
CHIEF (MEAN),Pathomics,0.044495229415128956,12.213885368430695,9.859448476892021,10,10,9
CONCH (ABMIL),Pathomics,0.04433161462253821,12.214931039181307,9.893224651010792,11,11,14
BiomedParse+CONCH (ABMIL),Radiopathomics,0.04360886866938296,12.219549075936216,9.867892195351759,12,12,10
CONCH (MEAN),Pathomics,0.042241932284108885,12.228278444905055,9.958931717321502,13,13,21
LVMMed+UNI (SPARRA),Radiopathomics,0.04191965455803881,12.230335629511114,9.93681756132212,14,14,19
FMCIB+UNI (MEAN),Radiopathomics,0.040990278046855066,12.236266150649815,9.775540847067793,15,15,2
FMCIB+CHIEF (MEAN),Radiopathomics,0.03945172035416733,12.246077655281596,9.838737824441667,16,16,7
LVMMed+CONCH (MEAN),Radiopathomics,0.03896438055545037,12.249183820980361,10.011191384037536,17,17,29
LVMMed+CHIEF (MEAN),Radiopathomics,0.03782058070441219,12.256470984981945,9.915189571955695,18,18,16
UNI (SPARRA),Pathomics,0.034292871511243495,12.278918828906082,9.893242582484106,19,19,15
CHIEF (SPARRA),Pathomics,0.031209966512995346,12.298502704573455,9.91855290774724,20,20,17
BiomedParse (MEAN),Radiomics,0.02906125444241503,12.31213378240195,10.02283099081049,21,21,31
LVMMed+CONCH (SPARRA),Radiopathomics,0.02876584270917104,12.314006646259372,9.96877596701809,22,22,22
pyradiomics+CHIEF (MEAN),Radiopathomics,0.028383810089378514,12.316428250598271,9.850889564401678,23,23,8
LVMMed+UNI (ABMIL),Radiopathomics,0.027527677160658404,12.321853323851704,9.992460354368891,24,24,27
LVMMed+CHIEF (SPARRA),Radiopathomics,0.024795582064338184,12.339149889982087,9.977092618079642,25,25,24
LVMMed (SPARRA),Radiomics,0.023993191174387363,12.344225126279412,10.07774708666394,26,26,36
FMCIB (MEAN),Radiomics,0.02321994952668016,12.349114015945798,9.997400562213887,27,27,28
CHIEF (ABMIL),Pathomics,0.02280967643433318,12.351707218626288,9.930034373753035,28,28,18
LVMMed (MEAN),Radiomics,0.019830412351077298,12.370521870806881,10.074504190713316,29,29,35
UNI (ABMIL),Pathomics,0.019744235386459974,12.371065669863713,9.973818962058829,30,30,23
UNI (MEAN),Pathomics,0.018798041190349224,12.377034829978754,9.97872087655954,31,31,25
LVMMed+CONCH (ABMIL),Radiopathomics,0.01831516675637679,12.380079982157412,9.985667872189277,32,32,26
BiomedParse+UNI (ABMIL),Radiopathomics,0.015622854131918329,12.397044807745731,10.023580216762408,33,33,32
LVMMed+CHIEF (ABMIL),Radiopathomics,0.014254917707289039,12.40565557333296,10.018363318491222,34,34,30
LVMMed+UNI (MEAN),Radiopathomics,0.00685423716861544,12.452137477315517,10.08554854632622,35,35,37
LVMMed (ABMIL),Radiomics,0.006553559067958181,12.454022297170432,10.14117302475263,36,36,38
pyradiomics+CONCH (MEAN),Radiopathomics,0.004745985723620061,12.465347179509767,10.045879273463758,37,37,33
BiomedParse (ABMIL),Radiomics,0.0011751961542835199,12.487688852116653,10.14471473454231,38,38,39
pyradiomics+UNI (MEAN),Radiopathomics,-0.002339219504476464,12.509638843870006,10.066268180068471,39,39,34
BiomedParse+CHIEF (ABMIL),Radiopathomics,-0.02950227942691863,12.678009301944687,10.151413180121226,40,40,40
pyradiomics (MEAN),Radiomics,-0.10506948869428534,13.135064321978836,10.27880696980819,41,41,41
