Model,Omics,Subtype,ACC,N
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.49812734082397003,267
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.5617977528089888,267
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5617977528089888,267
BiomedParse (SPARRA),Radiomics,Inflammatory,0.7106109324758842,311
CHIEF (SPARRA),Pathomics,Inflammatory,0.7877813504823151,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.7877813504823151,311
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.425531914893617,94
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.574468085106383,94
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5425531914893617,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.4719626168224299,214
CHIEF (SPARRA),Pathomics,Wound Healing,0.6448598130841121,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.6308411214953271,214
