Model,Omics,Subtype,ACC,N
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4419475655430712,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.48936170212765956,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.6308411214953271,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.7813504823151125,311
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.5168539325842697,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.4148936170212766,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.5467289719626168,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.7491961414790996,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5280898876404494,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5319148936170213,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.5934579439252337,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.7331189710610932,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.39325842696629215,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.2872340425531915,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.3878504672897196,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.6495176848874598,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.48314606741573035,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.46808510638297873,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.6261682242990654,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.7652733118971061,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.49812734082397003,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.2765957446808511,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.24299065420560748,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.7106109324758842,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.49812734082397003,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5425531914893617,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.5981308411214953,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.7491961414790996,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.21722846441947566,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.425531914893617,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.4719626168224299,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.617363344051447,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.49812734082397003,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.602803738317757,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.752411575562701,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,0.299625468164794,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,0.4148936170212766,94
FMCIB (MEAN),Radiomics,Wound Healing,0.3177570093457944,214
FMCIB (MEAN),Radiomics,Inflammatory,0.4340836012861736,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4868913857677903,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.4787234042553192,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.5093457943925234,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.7459807073954984,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,0.30337078651685395,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,0.30851063829787234,94
pyradiomics (MEAN),Radiomics,Wound Healing,0.3644859813084112,214
pyradiomics (MEAN),Radiomics,Inflammatory,0.5466237942122186,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5280898876404494,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5319148936170213,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.5747663551401869,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.7331189710610932,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5280898876404494,267
