Model,Omics,Subtype,F1,N
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.29925158416462766,57
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.3522734868058031,97
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.44538782784777897,228
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4307895146041698,115
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.4175990675990676,57
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.4535705809394327,97
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.4293773909017812,228
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.4823230543610978,115
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.44087301587301586,57
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.3892970937842402,97
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.5443502856513794,228
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4702133119816046,115
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.13193894993894995,57
BiomedParse (MEAN),Radiomics,Wound Healing,0.12728472507884273,97
BiomedParse (MEAN),Radiomics,Inflammatory,0.13379069976520166,228
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.24542010761384625,115
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.31408265647396083,57
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.3573606900715241,97
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.5334527021709443,228
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5231299013663191,115
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.1239501633986928,57
BiomedParse (SPARRA),Radiomics,Wound Healing,0.18562785594035594,97
BiomedParse (SPARRA),Radiomics,Inflammatory,0.1072941778638809,228
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.20331813826008874,115
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.34383764383764387,57
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.35823814865168246,97
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.5350498968682845,228
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5305859025059437,115
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.037327117327117326,57
BiomedParse (ABMIL),Radiomics,Wound Healing,0.13311563915012192,97
BiomedParse (ABMIL),Radiomics,Inflammatory,0.11793238447695452,228
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.15023032452592774,115
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5001040424953468,57
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3953273507984754,97
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5654169751047745,228
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5549658674658675,115
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,0.0873879142300195,57
FMCIB (MEAN),Radiomics,Wound Healing,0.12960685148185147,97
FMCIB (MEAN),Radiomics,Inflammatory,0.09189702552204881,228
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,0.1158579192546584,115
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.369125159642401,57
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.458095534995231,97
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.5413860186248246,228
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.44732115053599975,115
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,0.09540897698792436,57
pyradiomics (MEAN),Radiomics,Wound Healing,0.18424688057041,97
pyradiomics (MEAN),Radiomics,Inflammatory,0.13105053989752266,228
