Model,Omics,Subtype,F1,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.6673823430595862,256
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.9661116533926968,256
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.9801860857152859,256
BiomedParse (ABMIL),Radiomics,Inflammatory,0.4437990700919139,282
UNI (SPARRA),Pathomics,Inflammatory,0.8814814814814815,282
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.976650610616455,282
LVMMed (MEAN),Radiomics,Lymphocyte Depleted,0.5823702935499669,88
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.9626310348028437,88
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,1.0,88
BiomedParse (MEAN),Radiomics,Wound Healing,0.6287404893531214,198
CONCH (ABMIL),Pathomics,Wound Healing,0.8766961398554154,198
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.9345534660755275,198
