Model,Omics,Subtype,F1,N
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.9591786674032529,256
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.9653993516062482,88
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.9345534660755275,198
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.764522417153996,282
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.9787970063877705,256
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.9079994079994079,88
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.8648283653842755,198
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.8727401630627436,282
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.9530159132540792,256
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.9920533560380304,88
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.8683580191322126,198
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.8886131789357595,282
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.6673823430595862,256
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.4655208986415883,88
BiomedParse (MEAN),Radiomics,Wound Healing,0.6287404893531214,198
BiomedParse (MEAN),Radiomics,Inflammatory,0.4397715437321267,282
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.9706109265411591,256
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,1.0,88
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.8960602527564328,198
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.764522417153996,282
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.6439779484787149,256
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.4591192865105908,88
BiomedParse (SPARRA),Radiomics,Wound Healing,0.5793936993650769,198
BiomedParse (SPARRA),Radiomics,Inflammatory,0.3985185448386543,282
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.9801860857152859,256
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.9736625514403292,88
