Model,Omics,Subtype,R2,N
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.06567976916908058,267
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.17714719116820443,267
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.18944765052937795,267
BiomedParse (ABMIL),Radiomics,Inflammatory,0.08342824004484373,311
CHIEF (SPARRA),Pathomics,Inflammatory,0.2044022196262093,311
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.18835230871020647,311
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.018095252816877405,94
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.08156156767261624,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.10466897936938335,94
LVMMed (MEAN),Radiomics,Wound Healing,0.016014832552338487,214
UNI (ABMIL),Pathomics,Wound Healing,0.17883278223512244,214
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.1647176104539151,214
