Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.09860445728254241,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.014625689228940586,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.12962245271029327,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.18835230871020647,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.14509266006245536,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.05746401943876822,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.12639078363854606,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.15136744650436995,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.09739129355910336,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.08892990490936503,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.10373080473322871,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.03223324243499204,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.06567976916908058,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.018095252816877405,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.0009287887167253039,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.016453317622054486,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.02910645399427436,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.04209491787137809,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.01518164317084203,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.08342824004484373,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.1363385269727484,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.00999339902549945,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.12963764303162628,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.11039113927119182,311
