Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3564347433709968,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.19081657635333305,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.3879341454253875,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.23264593428178348,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3829069179706571,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.22875027845631624,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.3840555724998841,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.2948848372492521,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3785209347831937,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.07322881573571538,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.3389079703198914,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.27850484508404616,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.16338539814051278,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.0950875979022463,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.08828952592890871,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.22025523970103134,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.1049768702349203,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.2135230603673055,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.0853152990784819,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.1999694605076352,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4211096009041406,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.16071849688851114,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.40196534779668813,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.300567771820867,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4267834566712271,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1829008243541329,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.4043455493488468,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.41541237233223094,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.38521709844430085,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.14265877159212714,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.36095724275430774,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.3527176263435645,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.16301146944269207,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.03412995547508968,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.14840881322698363,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.17702099003773086,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.18013919716745486,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.24925619079826067,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.18202856435982873,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.6124946960295778,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3515542229514377,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.13820636610007508,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.40602069455774425,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.31425497981983996,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,0.05622277150832633,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.24040966153891574,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.09212229925069959,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.43450375859244983,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.40444950676377767,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.15117727014846427,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.38085307843723104,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.30729961311649845,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.36518758788932726,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.2102654046109994,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.3832126326595918,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.25353263651255653,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.39282774683809063,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.16615593250651783,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.4054524455475549,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.2987217880475803,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.31191552661788624,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.032435534334105176,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.3562659843913879,214
