Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.30484956888720716,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.121104589935362,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.09065985089165796,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.14417736480810317,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.311891355090241,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.11242884466357694,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.11030237480828109,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.10288267864272516,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.368005780617513,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.17932976733160166,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.11851786694072564,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.16091152534579123,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.1505000889899536,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.3284074247883422,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.09679331207073283,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.18046247820087902,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.13225782981913115,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.3875374101059206,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.1458269448756644,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.15231711584156304,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3781939849017245,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.14294132287491013,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.17649767227570357,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.23321072551974997,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4092292748623916,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.15573389820012895,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.19089376532921443,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.30630985737833805,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3677759576986801,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.08603460498256543,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.22896144182164535,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.2711967255512635,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.16210852918075547,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.24487479539979562,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.10865728026250421,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.18832159276151006,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.13378930173199022,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.8679065193565312,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.0849805831969872,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.6836318033814115,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3289166754850388,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.09692169704100762,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.21127196877888055,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.228800819590669,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.06879183420732504,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.5691556486384342,94
pyradiomics (MEAN),Radiomics,Wound Healing,0.03685267565014916,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.46935528008356786,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.32428053818777947,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.06894373128577025,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.13508603639907646,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.23089880996170065,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.3328207441874358,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.18521256449938828,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.1995650117444555,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.19224494990338492,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3482222193969383,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.20286478058706436,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.21641184279493209,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.22271058238976937,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.36891687518606775,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.15896968326425098,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.19322235543794686,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.1602652079571083,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.2840494227597501,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.27185280227691944,94
