Model,Omics,Subtype,R2,N
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.3663937929326002,267
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.291869119494957,267
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.29514323050525415,267
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.6490982311561742,311
CONCH (SPARRA),Pathomics,Inflammatory,0.2283047319749677,311
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.21298336463859613,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.1141064448430027,94
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.6567757441418856,94
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.6522359686570293,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.3476776972688653,214
UNI (MEAN),Pathomics,Wound Healing,0.3755477718488196,214
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.38074729068988133,214
