Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.2582035736140541,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.5779555262266252,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.34255710146376894,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.11790157397135215,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.29514323050525415,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.6148127275475919,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.33785891340012786,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.20622742130096705,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.1855424094946556,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.5900118345198395,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.24635220661363066,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.16605225944204294,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.3663937929326002,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.07465613744262511,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.4417075772685022,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.6490982311561742,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.4971611563457199,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.03231995938683396,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.3476776972688653,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.8209254180057182,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.22230538437870262,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.6353499895324155,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3698943833036217,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.20184541597685735,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.21701710030372812,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.6392699475878292,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.37894917091783953,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.19824444503039462,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.2256011897057124,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.6522359686570293,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.3297252549986289,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.16703214074649586,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.44639198511734857,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.1141064448430027,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.5207590568415545,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.8525332197139202,311
