Model,Omics,Subtype,R2,N
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.13294566460657675,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.4973428960078563,267
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5036475752403391,267
LVMMed (MEAN),Radiomics,Inflammatory,0.0007799160069582589,311
UNI (SPARRA),Pathomics,Inflammatory,0.47065950841798143,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.4476703997087149,311
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.43825188587324315,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.21024171974455064,94
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.21773029524071974,94
LVMMed (SPARRA),Radiomics,Wound Healing,0.03239247213502827,214
UNI (ABMIL),Pathomics,Wound Healing,0.3849984417194543,214
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3994583187945059,214
