Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3337959381648936,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.010671771734064195,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.271161552366468,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.3382992774267295,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4529647196949107,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.08526008239451621,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.3406036848417433,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.3773945741776681,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4309604278216872,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.10194706457855118,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.36797661491914846,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.37449623147679956,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.22581471065059477,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.7990243636994938,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.023237032604937147,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.08685953991316908,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.14936094995152605,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.6827704860302879,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.0964163278482637,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.04702127487382923,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4172694702917388,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.12439152205934001,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.32270872408001006,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.37315610588499326,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4912290024000545,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.20039154007764315,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3994583187945059,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.4476703997087149,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.45971188663083074,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.18999708719186525,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.36747880072669104,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.37931536609547334,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.16693066896847153,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.5484635120047614,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.019952962453514966,214
