Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.6209602055206732,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.8434472778136671,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.489295941714736,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.7335187855030243,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.654807674381903,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.8611798811572802,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.5531446103443919,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.7621519146806937,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.6040613089329344,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.870612316194181,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.5117499261144423,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.7275994528786596,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.1251847526900991,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.2811590760818409,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.4545790105739198,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.18612717756691155,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.13449347111930954,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.2610729972675344,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.5871963657272274,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.14980133721184163,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.597452845628315,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.8825464063057187,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.480748296365773,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.7788770092227564,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.6336369401393149,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.881209642603884,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.5148117299376065,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.7811266645208026,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.6080093327809118,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.8730634481956356,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.5027459825767111,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.7455559647763534,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.01893547299670828,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.38820470985094646,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.6466163878818938,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.10607686976400521,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.7798608188797749,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.028312613548605148,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.2940015574037598,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.27843405243792296,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5767856292414145,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.882911522252862,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.4915054027078004,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.7682759307546853,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.352573089410412,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.05284981946710032,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.6195355426463129,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.2656490809552132,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.6018434819550817,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.8770666121714465,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.43856511741294746,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.7790652125717247,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.5408734371234527,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.8480295287058801,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.4710996117893762,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.7531266967209412,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5496554674615215,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.8514722887363285,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.5292113515911265,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.7743321879798746,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4465081214520171,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.857931409473498,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.49774721231347974,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.7319344406386734,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.5159120759609319,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.8415465117356911,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.4585051417420475,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.7385591504195881,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.5626342349338664,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.8527628428845428,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.5143383686297703,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.7769624841374299,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5413660117974728,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.842972638668845,94
