Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-0.7006250058162233,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.05551663008303975,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,-0.4705439729326719,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.2798381164786894,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.4646816004048251,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.12019422371654187,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,-0.3158919803333229,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.33153603990794056,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.5299379912227018,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.1776463102432736,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,-0.24753541599214324,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.35121189857723945,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-1.6243719232641265,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.1373141353498044,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.8773058592603753,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.001236272365025215,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-1.4094692848924684,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.09684164777548587,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.9334226993269545,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.0007567109798195526,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.6407712330428414,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.04889547747120537,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,-0.38740625284570385,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.3252762221186072,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.4879682204157727,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1101191204303884,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,-0.3155191777495123,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.3389234150622541,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.603520029478521,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.039647868956568355,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,-0.34105173635148023,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.342622694592729,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-1.4217400000457658,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.06951029767869676,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.9524551643415278,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.020431660123401807,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-1.8176159562412089,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.22184103463329197,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.3258890218813644,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.2871100915157536,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.7040063957237654,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.015282146301132227,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,-0.40742415542535215,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.32408425878601443,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-1.4476117426632786,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.18923277557269014,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.926279826341702,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.006272614719086134,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.7207590173439788,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.02046707355577615,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,-0.4333728061080513,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.34275642622026203,311
