Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.4113991320580832,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.31230054986047495,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.30286765808491645,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.6292735792820838,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3920593095022469,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.32750660129287723,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.3006214058407717,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.6324473069838281,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4025786664468729,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.40954161913024756,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.24214453355538101,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.6357718790257065,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.11789257917383456,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.08822488153565966,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.023958081385327512,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.20479333938350086,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.0908027734075102,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.12331287847556416,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.0006308460206266853,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.2108540019461025,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.47108810485448416,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.40868581430242723,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.2895877389608501,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.7405721859476628,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.501168799963879,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.41409079740009946,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.30857551301413555,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.7430180158019655,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4455914293780915,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3447482232750233,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2962736917301716,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.7182762287667246,311
