Model,Omics,Subtype,R2,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.1637870656602869,267
UNI (ABMIL),Pathomics,IFN-gamma Dominant,0.4781410625066975,267
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.47142326087426567,267
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.08794173637521019,311
CHIEF (SPARRA),Pathomics,Inflammatory,0.475631948151501,311
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.4736318016059815,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.30366405489612913,94
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.40742137299933956,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4237720486821369,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.11188879993778722,214
CHIEF (SPARRA),Pathomics,Wound Healing,0.37878223011424306,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.37502214802462996,214
