Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.37763581109193023,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.26157147852425056,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.27098430422412134,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.38782354216581727,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4014678709656436,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.300960703303336,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.2905550317465214,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.4189280281650106,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3937286345254134,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2927899154136503,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.3216217701947509,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.3844586004708832,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.12177521613500963,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.3912814104129716,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.02931299473934801,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.08794173637521019,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.12508215509327603,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.4180019442009679,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.11188879993778722,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.17191260850561063,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4144117525837947,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3649378115123596,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3309215031523991,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.3987583819436131,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.44468262478394405,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3020133237803352,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.35036534294905164,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.4640014260820654,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.47142326087426567,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3530636450504785,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.3424668636175975,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.4146513974598136,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.1637870656602869,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.30366405489612913,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.083098227123651,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.17990650970245547,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.025706915823758836,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.8730579034743389,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.034242506408389994,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.6667799428471652,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.398686773320172,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.36010349382914275,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.3316983486242082,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.4047094770298082,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.05383909991724356,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.8261269342003712,94
pyradiomics (MEAN),Radiomics,Wound Healing,0.018724869637436026,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.6448224197750105,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.38706265544709384,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.28189534543357264,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.30642453790780566,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.4006429055788929,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.3666013009558957,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.3571335491594556,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.33852939199152243,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.39240941236837057,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3926738304842613,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.36626908784457946,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.3722642159401883,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.4661183519915737,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.41544578928076703,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3273940054578194,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.37502214802462996,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.44351107109080046,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.3442594033324873,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.36607708638878267,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.326507460627639,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.40093457714668723,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.3819863191062446,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.40742137299933956,94
