Model,Omics,Subtype,R2,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.042787347611667026,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.30380730887476637,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.30100395930669765,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.07277036119802871,311
UNI (SPARRA),Pathomics,Inflammatory,0.3358705037179419,311
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.3260271434111248,311
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.22399822140383585,94
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.2578437583933062,94
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2639428461088019,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.06320459225554276,214
CHIEF (MEAN),Pathomics,Wound Healing,0.19200895289971298,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.20144095019054575,214
