Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.2503093624781726,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.13623904457141423,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.17237320778256326,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.23438089163814557,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.23309101620387263,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1649091013444438,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.16830453355582864,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.22508490099023848,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.2916104986240875,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.1871815779095194,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.11819479597610916,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.27482679461922055,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.02508696927310683,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.22399822140383585,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.06320459225554276,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.02390770166140732,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.033381986360038196,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.3778188265208928,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.018362336348180297,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.0023376213411665514,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.25880861307748515,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2154884325659856,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.14477445859177906,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.2707085723602094,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.30100395930669765,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.19852340994578588,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.15532873196618469,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.3164781535925234,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.2880752789858734,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.1605145152238323,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.10360082498609047,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.25629058544412786,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.042787347611667026,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.27453899122612757,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.024267272541221074,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.07277036119802871,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.10720793869381962,267
