Model,Omics,Subtype,R2,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.012441615057662725,267
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.32608352426503573,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.33984125495447337,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.10925665188807276,311
UNI (SPARRA),Pathomics,Inflammatory,0.5506122282211166,311
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.547836015541125,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.8076546227955381,94
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.29947094814846176,94
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.28339162464498147,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.044260504562637304,214
CHIEF (ABMIL),Pathomics,Wound Healing,0.31905001672395883,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.31643761599444986,214
