Model,Omics,Subtype,R2,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.27453051375555093,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.33549264270458656,267
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3431032758704464,267
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.06351795342976696,311
CONCH (SPARRA),Pathomics,Inflammatory,0.574886070058518,311
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.5690946799488101,311
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.29355683306871416,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.6027624157240236,94
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5827295611491463,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.09148782580789727,214
UNI (ABMIL),Pathomics,Wound Healing,0.46694317726545853,214
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.4570853446444134,214
