Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.17220748558074017,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.49656177904523857,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.42539529444027024,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.5308923906446719,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.2643181946300467,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5733754424485538,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.4247106391041855,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.5690946799488101,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.23668661022045656,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.5218691135789637,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.41124529845179225,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5533025889221561,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.3121839619294273,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.36551623901608976,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.09148782580789727,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.06351795342976696,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.42635376045202045,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.29355683306871416,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.037747769786019014,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.10125799565369498,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.28719938131545963,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5496781974679864,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.4446928042027243,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.5484924296068645,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.321903306581093,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5826706951763283,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.4435549686523824,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5689166717287276,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.29150152927015494,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.5653931836866619,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.44472708607422795,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.5067979023309908,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.27453051375555093,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.3321666817279123,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.03161568859365482,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.10997058304680118,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.753967157054193,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.7387155950490911,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.14738474743245944,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.696032851425006,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.2670349449093733,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5344961948748144,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.438087774132232,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.5508361495743122,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.6185512469197143,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.7106894259174679,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.07849928133919293,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.48270928358632026,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.26403611804507043,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.47914690332271725,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.3793414472679305,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.553989576482395,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.15854583764810715,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.47272286214488657,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.3951563024706668,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.5121244985877034,311
