Model,Omics,Subtype,R2,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.11597300908470864,267
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.10469082944780106,267
LVMMed+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.11429318611029649,267
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.005983852821354274,311
CONCH (ABMIL),Pathomics,Inflammatory,0.21248006230789274,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.22173342565291454,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.0545433230313459,94
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.20072838091038947,94
LVMMed+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.18658087328202688,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.0827297541586609,214
UNI (SPARRA),Pathomics,Wound Healing,0.10813824751257495,214
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.1069390300487294,214
