Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.060414188212256525,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.12687658609911479,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.10494931705534272,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.14572374400842003,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.06222120389880803,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.15977990013763566,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.05991146556147964,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.17970049663460952,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.02645204432107573,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.14492521635721634,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.015813590072369044,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.18438282061005717,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.18974155422737082,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.09796365672230123,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.14689367057512248,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.005983852821354274,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.16923934181468425,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.062445560864681005,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.21287800267796286,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.1046869417624876,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.07980203745184233,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.12319093146958837,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.09107650279078272,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.19056769784123373,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.05108138339647683,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.13789216084911504,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.10439236509424987,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.22173342565291454,311
