Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.2416217842451316,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.6264828918163388,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.32792043477082,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-0.15701467027760296,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3055190585174049,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.6743443932097783,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.35343529945001606,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.0003988367238569879,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.14497738080366296,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.6656336888377952,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.24686460799796894,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.09428730558442633,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.7048408699241588,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.007762466108610977,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.6520602306873684,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-1.5586043170133017,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-1.2644175328111573,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.1323700272059647,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.888378220966888,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-1.7202668259736202,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3085072245545527,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.6776345510913979,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.4023745791004233,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,-0.04978695907022268,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.2993386880375771,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.7210895848954101,94
