Model,Omics,Subtype,R2,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.05318095473834372,267
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.15616516587064422,267
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.1989139855206472,267
BiomedParse (SPARRA),Radiomics,Inflammatory,0.1926652665944909,311
CONCH (SPARRA),Pathomics,Inflammatory,0.5021954600802649,311
LVMMed+CONCH (SPARRA),Radiopathomics,Inflammatory,0.46690692638867326,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.09164480366225225,94
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.2941416591556245,94
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.32601945337217497,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.04968618341849651,214
CHIEF (SPARRA),Pathomics,Wound Healing,0.21836533565512994,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.22524704883936852,214
