Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.14905792211537838,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.22278074416076554,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.17912427206031822,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.43625439298256896,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.1989139855206472,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.277037430554841,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.15126359252112953,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.4559916065973114,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.11926333171885606,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.25841234972087235,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.052377708385878186,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.46019223184394065,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.09113494879325112,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.012385804302091241,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.026660152070897336,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.1926652665944909,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.0772710159469423,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.05859903756045637,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.04968618341849651,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.13762044811011098,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.13567679800928178,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.28459281036999207,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.17535558210382862,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.4280666346630372,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.13501197927046105,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.26285894451252334,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.21900031383049656,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.451023166362047,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.18394432303772212,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.32601945337217497,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.19027781397602928,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.42485886716758536,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.05318095473834372,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.09164480366225225,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.03643770408010194,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.12648294796444448,311
