Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.33083341821185275,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.17326556504592971,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.22221290128107563,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.19355456711004027,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3378721714235079,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.24555977131243,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.16989876116978186,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.18714176506871583,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.2554168297262501,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.20627803563656832,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.12241228706962437,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.1533869911458572,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.08876933487818728,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.07902711650026428,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.22686714316014678,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.018339306063703487,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.12005596235841598,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.03725062436510518,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.10815828095082214,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.03114694908785287,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3536608800492419,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2566592710275012,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.215714366989601,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.18561954156403349,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.38166205021475874,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.15063152569616145,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.17495916083991925,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.1612198554417934,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.24754516008367666,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.30455748541185923,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.15641148021054652,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.18423499250144326,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.12421358004364635,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.10585907432141328,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.11100047082979136,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.03262539021054711,311
