Model,Omics,Subtype,R2,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.050599519225105305,267
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.25863835499195964,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.24358500028978525,267
BiomedParse (MEAN),Radiomics,Inflammatory,-0.023444479562381382,311
CONCH (SPARRA),Pathomics,Inflammatory,0.2580236039732995,311
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.2556036881635295,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.7522655473100619,94
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.11460430657807119,94
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.08350914143498245,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.02742246954321914,214
UNI (SPARRA),Pathomics,Wound Healing,0.27257506201677495,214
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.2389006059755725,214
