Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.2085509360904596,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.009686409777545979,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.13851085097760996,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.1965292090414562,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.23534650611509322,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.040785864370306624,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.20286539147670812,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.2556036881635295,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.18071848399031887,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.024262920757164186,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.16700220137643385,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.19265829902073117,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.04079885346853285,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.7767394015921754,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.007170935316128668,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.031999089862028596,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.032464263872359234,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.8508332357737711,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.02742246954321914,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.034297568336072226,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.18658714989027447,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.046387094006382634,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.16673655011118815,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.1898171905502961,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.24358500028978525,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.017629734222421867,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2367057404903543,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.23215367307167856,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.21188322244007063,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.07872510227463003,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.23528108154827898,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.146077208656756,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.050599519225105305,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.7522655473100619,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.01369411179923985,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.023444479562381382,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.15481565563573096,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.0318229606197633,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.1514433322125186,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.26831863585587046,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.15304989369415656,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.08350914143498245,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.18374397575110402,214
