Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.4159025863512581,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.19739507755771535,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.3095533015054657,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.4450318829593509,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5157131113887954,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2917526584058737,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.25738332683056253,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.4905369490804391,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.507067250326869,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3938900909380044,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.26907567495230056,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.553675134824783,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.1603174449579965,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.5535099304675373,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.2952464913852464,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.015751152818967218,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.10220189613455632,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.5716215975822914,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.3631107676182508,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.05060450507669778,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.46204504432737026,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3373417990808778,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3342862817974499,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.4535230073614853,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5367364395459426,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.39529505142254784,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3608824467190692,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5147910240812404,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4928760088470635,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.28217903166241676,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.27562086698417343,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.4969865218907009,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.1345681457680945,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.43628388491925874,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.25480282846355906,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.07814806142486486,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.3674295968777552,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.0705574018675104,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.8118212511499503,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.5413378645682825,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.44622907814798796,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2422062531288035,94
