Model,Omics,Subtype,R2,N
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.3261512355966891,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.2812871421098565,267
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3232153294095321,267
BiomedParse (SPARRA),Radiomics,Inflammatory,0.1811373055237545,311
CHIEF (SPARRA),Pathomics,Inflammatory,0.4917512275713637,311
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.4821210810675325,311
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.013802666546472553,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.5671034415194562,94
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5654671590500516,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.17470576100466784,214
CHIEF (MEAN),Pathomics,Wound Healing,0.2947180503904745,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.354961454436154,214
