Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.2963734539138826,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.4806007279555121,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.25445744975148366,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.3605512111610355,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3085377201742018,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.526673736831653,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.24570232380182422,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.3619189245615605,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.28846937152551144,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.409524199160084,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.21897909312049757,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.33631228474067587,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.3261512355966891,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.013802666546472553,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.15718994224828498,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.1811373055237545,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.17111988215956353,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.2803620064226622,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.0516542319633565,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.1078574990402904,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.315711693073232,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5654671590500516,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.2630348098657097,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.41772336256354314,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.28537005518964687,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5289814633842326,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2351601091180191,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.47006182477454883,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.28860983146587493,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.5049309422273297,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2820265032964241,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.45750648496098634,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.29550779492426715,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.0026522720004273914,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.17470576100466784,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.15816837171656561,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.07074156593783787,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.46426258779654694,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.16953288079408968,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.13395371866045713,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.23431645929214118,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5342296627598389,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.26242676017800204,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.44435152238425424,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,0.07875894074583167,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.56571761273823,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.4259000663494501,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.05173358911204651,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.2595638857740562,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.515993125496022,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.17113622806958784,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.41946315361802333,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.2993491487487958,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.5282318123735827,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.3350401066870803,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.43245489482799804,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.31755006943749453,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5507770016536138,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.354961454436154,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.4402996536579217,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3087382371372748,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.4698105882915742,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.2960722580199231,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.415709565249753,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.2758511701407955,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.5367221030370566,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.30257089515001834,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.4316586583327704,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.24161530887059623,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.5646461939857786,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.2903647751030404,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.4917512275713637,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3106754450033671,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.565066448199941,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.35489479080784037,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.4293565461516181,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.24157001899491704,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3843153419965162,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.27292581332369215,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.3075406494661874,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.22106927703578527,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.5493632069101742,94
CHIEF (MEAN),Pathomics,Wound Healing,0.2947180503904745,214
CHIEF (MEAN),Pathomics,Inflammatory,0.46973379359108736,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.24271624140459125,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.5034253987457021,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.28194712909668496,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.469086460185816,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.11464310068575789,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.21589151321027789,94
LVMMed (SPARRA),Radiomics,Wound Healing,0.045654839568898486,214
LVMMed (SPARRA),Radiomics,Inflammatory,0.09116767547762117,311
