Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.4710335148688164,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.3553656512537575,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.51494261613127,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.48098319591156335,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5013427348785635,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3618776546261867,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.5336773807925341,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.5435931912159162,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5681285907740036,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.39920763129658055,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.5471495248469738,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5693836378729791,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.1470785489098635,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.5696114327387429,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.1538322696151989,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.1529294039645912,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.17685607371001477,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.6450866879326376,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.19391815823681013,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.13944112200924952,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5187436524190923,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.4361840309396041,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.5740130270789876,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.5577646196236483,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5660368003049077,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.45292826518830576,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.575069109224936,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.6063405334408081,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5656181238119653,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.4511136681842659,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.5569435407680398,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.5727731463669206,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.18752706477596404,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.4866091231541054,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.21608207041651284,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.133988140631918,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.02102027807327511,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.0591850541203724,94
FMCIB (MEAN),Radiomics,Wound Healing,0.06622278470540188,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.23960410993949832,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5339060123303779,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.4416617559812378,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.5676020367887901,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.5500013574080586,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,0.0776666376609052,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-1.0844588437093186,94
pyradiomics (MEAN),Radiomics,Wound Healing,0.06909301887116004,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.09841620768144121,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.44295590075255786,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.34493531471041183,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.56114370816112,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.5183263661371418,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.471505818822857,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.4004141853427947,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.5672379424989418,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.5182968312899666,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5096454025552906,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4658820100190556,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.6142735100964003,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.5759780804381733,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.537797678866967,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.4294405126538532,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.6351958713776982,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.5417161840870848,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.468578408319133,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.4115817068464609,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.5760723919971815,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.4905446905525247,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.5188709554493776,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.4958248459948158,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.6300605498780298,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.5768745959571242,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5032574247991131,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.48876440248558195,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.6258861481906672,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.5758966375489847,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.49139820773664067,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.26806980192520113,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.5994460171110849,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.5001849720621356,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.47580912955765053,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.3961614102970985,94
CHIEF (MEAN),Pathomics,Wound Healing,0.5738901934414653,214
CHIEF (MEAN),Pathomics,Inflammatory,0.525317239028823,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.54217471358121,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.4732610622085778,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.6352775730888685,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.5680044617039381,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.028039947124328224,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.675099102037356,94
LVMMed (SPARRA),Radiomics,Wound Healing,0.16138271943483073,214
LVMMed (SPARRA),Radiomics,Inflammatory,0.03479481340160173,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.462068958432446,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-2.6356687811019985,94
LVMMed (ABMIL),Radiomics,Wound Healing,-0.48273182649257107,214
LVMMed (ABMIL),Radiomics,Inflammatory,-0.36113027852720125,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5132674477330395,267
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.4308896664397358,94
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.5864451074227699,214
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.542278552261565,311
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.5823522850276301,267
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.4847265238069399,94
UNI (SPARRA),Pathomics,Wound Healing,0.5726327362202128,214
UNI (SPARRA),Pathomics,Inflammatory,0.6092775346970828,311
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5633997511818362,267
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4722248254705299,94
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.5781954966387657,214
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.6052928403685197,311
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5490513141223994,267
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.38888281523118684,94
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,0.5592386602655262,214
LVMMed+UNI (ABMIL),Radiopathomics,Inflammatory,0.5318442448174778,311
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.5328973883178176,267
UNI (MEAN),Pathomics,Lymphocyte Depleted,0.4367332439941337,94
UNI (MEAN),Pathomics,Wound Healing,0.5827967627205117,214
UNI (MEAN),Pathomics,Inflammatory,0.5636960761634736,311
LVMMed (MEAN),Radiomics,IFN-gamma Dominant,0.06929668445171921,267
LVMMed (MEAN),Radiomics,Lymphocyte Depleted,-0.8116977523223843,94
LVMMed (MEAN),Radiomics,Wound Healing,0.17374036445092655,214
LVMMed (MEAN),Radiomics,Inflammatory,-0.02537663350934083,311
UNI (ABMIL),Pathomics,IFN-gamma Dominant,0.5622765127278297,267
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.49302967899063543,94
UNI (ABMIL),Pathomics,Wound Healing,0.5646309125940696,214
UNI (ABMIL),Pathomics,Inflammatory,0.5698229068813361,311
FMCIB+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.42883611875367533,267
FMCIB+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.36290408114731365,94
FMCIB+CONCH (MEAN),Radiopathomics,Wound Healing,0.49908970829596544,214
FMCIB+CONCH (MEAN),Radiopathomics,Inflammatory,0.4343305379004274,311
LVMMed+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.44136069748427387,267
LVMMed+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.3604948228082979,94
LVMMed+CONCH (MEAN),Radiopathomics,Wound Healing,0.5127946399488944,214
LVMMed+CONCH (MEAN),Radiopathomics,Inflammatory,0.46846040725286975,311
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.5186487548837658,267
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.40691471488385433,94
CONCH (SPARRA),Pathomics,Wound Healing,0.5522669813568872,214
CONCH (SPARRA),Pathomics,Inflammatory,0.5354795385888219,311
LVMMed+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4909637283274674,267
LVMMed+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.41625030907504057,94
LVMMed+CONCH (SPARRA),Radiopathomics,Wound Healing,0.5447567460129895,214
LVMMed+CONCH (SPARRA),Radiopathomics,Inflammatory,0.5247464569487664,311
LVMMed+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5170997973151339,267
LVMMed+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2975595986505619,94
LVMMed+CONCH (ABMIL),Radiopathomics,Wound Healing,0.5105116456262648,214
LVMMed+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5053455552859862,311
CONCH (MEAN),Pathomics,IFN-gamma Dominant,0.5107943733560568,267
CONCH (MEAN),Pathomics,Lymphocyte Depleted,0.4302310816214048,94
CONCH (MEAN),Pathomics,Wound Healing,0.5466546101608506,214
CONCH (MEAN),Pathomics,Inflammatory,0.4954355874096771,311
CONCH (ABMIL),Pathomics,IFN-gamma Dominant,0.5756767110016381,267
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.4397607908193898,94
CONCH (ABMIL),Pathomics,Wound Healing,0.5453082401187481,214
CONCH (ABMIL),Pathomics,Inflammatory,0.5766793348825348,311
FMCIB+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.46984653729736436,267
FMCIB+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.38619587152796353,94
FMCIB+CHIEF (MEAN),Radiopathomics,Wound Healing,0.5747024667003704,214
FMCIB+CHIEF (MEAN),Radiopathomics,Inflammatory,0.4864955523802299,311
pyradiomics+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3855706260195819,267
pyradiomics+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.15771652789774537,94
pyradiomics+CONCH (MEAN),Radiopathomics,Wound Healing,0.42158891058796744,214
pyradiomics+CONCH (MEAN),Radiopathomics,Inflammatory,0.42131782548406216,311
pyradiomics+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.3170473629555901,267
pyradiomics+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.07747965621890174,94
pyradiomics+CHIEF (MEAN),Radiopathomics,Wound Healing,0.3671268821586986,214
pyradiomics+CHIEF (MEAN),Radiopathomics,Inflammatory,0.37070340102843,311
