Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.14369567475479073,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.24238941886580512,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.1548183984470245,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.3361854233411007,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.1512937090971419,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.24677780541901295,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.1453557139933762,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.3938503341821049,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.1190629839253502,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.24141480867992882,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.1839507251467466,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.44751918328714935,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.12951840345435683,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.16965821322984587,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.3568843689507306,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.24169017588809782,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.27310409310187045,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.03802818320956347,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.44804952277505183,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.07860322040553802,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.23032187053899078,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2150841449385077,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.2933571677497344,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.3779896272551795,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.21699266235057835,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.20238999948404546,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3089145694786024,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.44067640745226544,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.20439275749880603,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2764417088772295,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.23007421938406813,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.39328779587427987,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.1908544489449553,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.06877343913841316,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.4260395714078866,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.1651421410442484,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.4652159869389889,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,0.0019781053396632498,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.7790467564148527,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.9438136966434445,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.23381738471607993,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.24755279180608802,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.2951661137479098,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.3651352784480767,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.4454606863269983,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.04916309982132594,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.4264551258316509,214
pyradiomics (MEAN),Radiomics,Inflammatory,-1.021059885360164,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.16420768187875223,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.1766666034874903,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.21983625509549176,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.35262654312078046,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.14755889245573772,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.21153520542069937,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.1654896597261999,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.37604697824758304,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.17029779681171286,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2268139820481293,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.17460202360055088,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.4221669095920709,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.11793255516854884,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2066143093000039,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.12988237514815537,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.32053281075114515,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.12905549352907886,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.18257591749807967,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.13947180263183612,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.36383761433201023,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.19121340936268516,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.23264022450269606,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.21144826193783617,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.44164265118331014,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.17320674212335885,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.21197373808593978,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.18358694410127296,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.4333822238999515,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.004967521010495246,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.05263044069199807,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.13990317833485577,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.04051468331374286,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.1456126850621866,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.2099886486513607,94
CHIEF (MEAN),Pathomics,Wound Healing,0.20504361165928542,214
CHIEF (MEAN),Pathomics,Inflammatory,0.3928743321303263,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.1499925463026779,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.21105697164311754,94
