Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.6246940125816225,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.5716247060556781,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.6418817957933235,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.6330693707244188,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.6877237288741274,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.6222150343175898,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.6403445017968237,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.645188188159564,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.685943335538369,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.6158277987154614,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.573482804738161,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5982902512602959,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.005608319743638512,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.02769667051856861,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.11376967522627845,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.025272829037596867,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.07581066740744813,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.29025655190375166,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.12017759150463425,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.08202090324937794,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.6445386484115687,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.6211448037814237,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.6374530290455651,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.6717228278796419,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.7040048232800974,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.6128309223257944,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.605814661434196,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.691167214542793,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.6571650330433862,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.6407269358604465,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.6417803115058779,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.6401872829668995,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.10136784031722268,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.29990226070329173,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.12379392711725268,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.14659317540285377,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.18283583556163507,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.48709476796871476,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.07531653325336629,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.7207581236591054,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.643200510033818,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.6205422876379236,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.6260528253068656,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.6427734256755708,311
