Model,Omics,Subtype,R2,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.32678344012023763,267
UNI (ABMIL),Pathomics,IFN-gamma Dominant,0.6605513587338498,267
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.6488439401545198,267
BiomedParse (SPARRA),Radiomics,Inflammatory,0.21684275657016083,311
UNI (SPARRA),Pathomics,Inflammatory,0.7027340634604204,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.6826166149442732,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.432697214443023,94
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.6892057798303233,94
FMCIB+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.6900736750920676,94
FMCIB (MEAN),Radiomics,Wound Healing,0.5722991723404097,214
UNI (SPARRA),Pathomics,Wound Healing,0.7444860189925573,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.7424589055025358,214
