Model,Omics,Subtype,R2,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.2689058425480403,267
UNI (ABMIL),Pathomics,IFN-gamma Dominant,0.4302848887614664,267
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.45194663970929116,267
BiomedParse (SPARRA),Radiomics,Inflammatory,0.11580329900861519,311
CHIEF (SPARRA),Pathomics,Inflammatory,0.5441042212825481,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5350215681801886,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.29286387093650434,94
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.5001411153676626,94
FMCIB+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.5250977557650716,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.10979756482941505,214
CHIEF (SPARRA),Pathomics,Wound Healing,0.3616346939269025,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.36334723921470247,214
