Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3656902563861356,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.3812466016333458,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.23281146809041475,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.4519927987488537,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3815734540220961,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.39741558577280933,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.2504291247571472,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.48213947990106365,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.39036108880272247,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.35925577530719355,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.25385598277199184,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.46413094699346513,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.2550919682024967,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.3617757005411839,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.04340469919044543,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.11580329900861519,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.2051971581315969,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.5294721467826762,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.06319557777066553,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.08020091311312338,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.38754656861920755,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.48729561862840665,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.29057014610938037,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.473052596454715,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4219400752196454,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.42256453289805473,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3038824830183272,214
