Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.34514973543691396,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.4998754202254213,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.415255513630963,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.6519490457511448,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4161471677542805,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5355480192505231,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.3973874884255236,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.6836744367374936,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4155452139932482,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.5613265002831946,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.39764698137731525,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.6954967763146194,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.04087648157584378,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.11699414721606027,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.25180274552476667,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.30621996393276707,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.010057034851947866,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.06973828364534329,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.2580346971251073,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.29801020099920306,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4108625341290697,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5499229711053302,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.36847699463078887,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.6889532378464844,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4277336338637817,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5852941903649824,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.399300103091482,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.6872325999806976,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4135984284110985,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.5694845848929845,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.33687881238976525,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.6944615412363073,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.03019959257707172,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.04872680514584837,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.3327992467938272,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.2448878785228027,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.47410096855555306,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.0128048405190202,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.834820359274461,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.2730697950525711,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4138684772810053,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5525274293613007,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.38056917057280637,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.6586233093360127,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.32161735503613564,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.04442472491783023,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.6606629963133595,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.34919378285890423,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3903305372388891,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5114565887542288,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.31118514502568695,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.6648368295028961,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.3537404057841218,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.44776094679909584,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.3556115540788307,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.6287946306226309,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.39230918447409713,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4712298836222524,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.3493247580608947,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.6592377327008969,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.33061484242317796,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.48374812490676633,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.28937561871946393,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.5846611011609535,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.32973691491189827,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.43334240116915335,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.34851055680569054,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.6489569997588349,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.3849773978047376,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.45845053505840927,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.3590850101866324,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.6501737825231737,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3563705192419526,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.461594125255558,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.3363998946122084,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.6628143593146087,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.24638650843725296,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.4555910913612994,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.15837350638003866,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.599010767544637,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.35648511112882264,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.4572418421140948,94
CHIEF (MEAN),Pathomics,Wound Healing,0.3539679440751269,214
CHIEF (MEAN),Pathomics,Inflammatory,0.6391626221061385,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.34248276426155133,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.47829821346737966,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.2851488573890876,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.5785140643220454,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-0.28297622365138686,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.02466835157109104,94
LVMMed (SPARRA),Radiomics,Wound Healing,-0.5352600134410437,214
LVMMed (SPARRA),Radiomics,Inflammatory,0.09080870455641465,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.3012977556092855,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-0.01925357207676992,94
LVMMed (ABMIL),Radiomics,Wound Healing,-0.5440318203827772,214
LVMMed (ABMIL),Radiomics,Inflammatory,0.04382994027142961,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4036340677946718,267
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5648713577879649,94
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.3900881962514987,214
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.6955836638921317,311
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.42641230316397705,267
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.5934224526643106,94
UNI (SPARRA),Pathomics,Wound Healing,0.4005636397637984,214
UNI (SPARRA),Pathomics,Inflammatory,0.7009985092329647,311
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.42569861192229375,267
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5884850175838265,94
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.3984583613797962,214
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.6996735214659064,311
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.37307911242156766,267
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.5371113956333371,94
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,0.3021278496926868,214
LVMMed+UNI (ABMIL),Radiopathomics,Inflammatory,0.649692716887914,311
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.4265110242270612,267
