Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3748121086235814,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.20155872941605446,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.40631331578593166,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.48357152674396364,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.38875085471443394,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.24273396576232054,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.31727972887502187,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.5194115708584861,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3986711591016874,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3151727612362837,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.3424528532488236,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5771318354761027,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.06839433080805168,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.6399292307317836,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.02584435586752054,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.11527636807433639,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.0855236193683302,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.6777125033702254,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.009753303399448132,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.14235541386131456,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4147517981266946,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.30232120851081057,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.363096546164283,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.5069272628180598,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4499757407713765,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3228592061739687,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.36844345671371825,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5681263947456059,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.39939990958454386,267
