Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.06629163013611239,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.35757094577987436,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.005357363314322239,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.30997921786433913,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.05403864380709955,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.32139019214186204,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.008014571739072829,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.31335556765481487,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.05798386536574607,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3626631430630105,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,-0.06203798226303925,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.2412405480183929,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.03762026021155185,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.11246466061940319,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.12006104060579892,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.027944895096824185,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.03366828436683589,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.073969389050205,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.13267459940888382,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.0022319445324207043,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.011460135769912783,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.41748392236666065,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,-0.00668345450284602,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.3465054325390696,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.028300908820461212,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.46726502604908604,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,-0.0010483503534068905,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.36944584638252165,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.006037914877534023,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2435494388521645,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,-0.008339315609101394,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.28437115870121854,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.012991792034784178,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.05500399520342392,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.12699180448810554,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.12736759115742924,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.22019797267062535,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.4501182879596084,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.2389171835304682,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.7549165370213022,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.02286837855560664,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.37462494282738523,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.02415284666524531,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.2938893034781913,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.03073666935137931,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.049342289039990384,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.17989751232976126,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.373847935203411,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.02336866312439967,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.30230958454586343,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,-0.012372084093056124,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.3282270238756353,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.07596146010718585,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.3699039627856552,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.021893840374105134,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.4129468393050162,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.06621929564301887,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3573298588769469,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.015103617568197225,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.3729038550959707,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.0654292245688961,267
