Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.34237100355556127,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.41169972558584444,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.42798774756017344,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.31585259429449464,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3455975226270529,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4399600339012818,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.4169446422106109,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.328597195389687,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.2556441643150321,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.36926849882238744,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.40631906203320045,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.36140230597590106,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.22603663787805395,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.02417124447207253,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.31682367184511173,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.12173553996398034,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.21902196417355857,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.1335317125713309,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.3330268752634884,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.06204086535652498,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3483278722161415,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5402994312168451,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.4004893654212507,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.3980245180050719,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.29752852754329284,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.44312736711650025,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.40308083589155774,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.4491774471413207,311
