Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.14189392806105117,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.27774261921700305,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.17180271455950136,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.1467470880393159,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.16371599622852506,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.30611272235192044,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.1314045320998053,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.13842007992626337,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.07818873835831397,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2464504011938684,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.06745026799460296,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.16221599475665704,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.10319249353780235,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.10015441051167728,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.057359351667833236,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.023467122917222527,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.11347107539414802,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.014882383710351776,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.05686391484670983,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.04400250216891988,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.10355683400984284,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3441732721149241,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.19512029974769185,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.21867149433299982,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.17149275393993335,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.39854688112103553,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.19249913914741013,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.2843710959912299,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.1387461071702586,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.28162612401744225,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.164665513082335,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.2689351979277489,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.08837757783941835,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.03961919063677777,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.06948804352020721,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.0029793089114305005,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.23696896739424544,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.2414638614072775,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.15957475873385008,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.22499602171442157,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.06763849319846738,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.290015674908096,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.1623182959418592,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.2723819756571332,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,0.023574376221657367,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.12465912366089671,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.13035134105321755,214
pyradiomics (MEAN),Radiomics,Inflammatory,0.008793386138756576,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.07318067512698045,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3174274819877222,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.12094527649847697,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.2708180101415594,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.12721711749643905,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.30333871176030125,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.18480163138484162,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.2808239283149675,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.1339454885317396,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3368719191598444,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.21683737955603122,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.2705315241861107,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.11161789804787547,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.1902760170901291,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.06618900442805675,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.12464714950968936,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.1703460965845296,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.2543821106411628,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.25940161510824855,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.2956773815149749,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.07206272894627941,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.28541996843515405,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.1882488720165103,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.33853379411835716,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.07588748537808854,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.29660927297629414,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.2577634376377118,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.31010790912197417,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.01175634699144712,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.010369153417926213,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.07606800551279058,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.04476411531599467,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.07605034098962338,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.29360974929824923,94
CHIEF (MEAN),Pathomics,Wound Healing,0.17519207207095933,214
CHIEF (MEAN),Pathomics,Inflammatory,0.3161879130599142,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.04575678393967586,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.22475849924551639,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.08776645237149994,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.19730686420892474,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-0.02932901115419928,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.06452423754058945,94
LVMMed (SPARRA),Radiomics,Wound Healing,-0.024149576665660533,214
LVMMed (SPARRA),Radiomics,Inflammatory,-0.0659460262768472,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.07897849620120145,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-0.24443466399824954,94
LVMMed (ABMIL),Radiomics,Wound Healing,0.053397248628964444,214
LVMMed (ABMIL),Radiomics,Inflammatory,-0.23834251237233905,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.160030671588959,267
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2754137307199974,94
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.2318547175469753,214
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.27732329467768724,311
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.1619687358068198,267
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.3606664503619089,94
UNI (SPARRA),Pathomics,Wound Healing,0.17085281357551263,214
UNI (SPARRA),Pathomics,Inflammatory,0.30117416089434457,311
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.16732181742236096,267
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2890632128906665,94
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.2228315444607396,214
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.30869060446004914,311
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.11609771883752906,267
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.273276453182139,94
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,0.06985659328648719,214
LVMMed+UNI (ABMIL),Radiopathomics,Inflammatory,0.23930776910557905,311
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.08905294003498954,267
UNI (MEAN),Pathomics,Lymphocyte Depleted,0.30366758561414764,94
UNI (MEAN),Pathomics,Wound Healing,0.16222966246370163,214
UNI (MEAN),Pathomics,Inflammatory,0.2789618764203434,311
LVMMed (MEAN),Radiomics,IFN-gamma Dominant,0.09249631360184474,267
LVMMed (MEAN),Radiomics,Lymphocyte Depleted,-0.13920354185813855,94
LVMMed (MEAN),Radiomics,Wound Healing,0.052156823310798184,214
LVMMed (MEAN),Radiomics,Inflammatory,0.03403825086431067,311
UNI (ABMIL),Pathomics,IFN-gamma Dominant,0.10854321658826405,267
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.2962173709993028,94
UNI (ABMIL),Pathomics,Wound Healing,0.1358130537425838,214
UNI (ABMIL),Pathomics,Inflammatory,0.28085962818953725,311
FMCIB+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-0.18972363158821914,267
FMCIB+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.08149132179757312,94
FMCIB+CONCH (MEAN),Radiopathomics,Wound Healing,0.00538091526891582,214
FMCIB+CONCH (MEAN),Radiopathomics,Inflammatory,0.030909162373191634,311
LVMMed+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.16224905405783796,267
LVMMed+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.19946027029668256,94
LVMMed+CONCH (MEAN),Radiopathomics,Wound Healing,0.22126495222792308,214
LVMMed+CONCH (MEAN),Radiopathomics,Inflammatory,0.18707081653147883,311
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.1284963218858418,267
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.23475509221801794,94
CONCH (SPARRA),Pathomics,Wound Healing,0.13011245575648345,214
CONCH (SPARRA),Pathomics,Inflammatory,0.2351238792764151,311
LVMMed+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.09103627925288138,267
LVMMed+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.262221131112337,94
LVMMed+CONCH (SPARRA),Radiopathomics,Wound Healing,0.20427027532908337,214
LVMMed+CONCH (SPARRA),Radiopathomics,Inflammatory,0.23670430053507652,311
LVMMed+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.06332013827058802,267
LVMMed+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.19739127006659396,94
LVMMed+CONCH (ABMIL),Radiopathomics,Wound Healing,0.06517300204140808,214
LVMMed+CONCH (ABMIL),Radiopathomics,Inflammatory,0.03732201398900048,311
CONCH (MEAN),Pathomics,IFN-gamma Dominant,0.09739046380545502,267
CONCH (MEAN),Pathomics,Lymphocyte Depleted,0.23718773488058975,94
CONCH (MEAN),Pathomics,Wound Healing,0.17590691052388174,214
CONCH (MEAN),Pathomics,Inflammatory,0.22183983422139253,311
CONCH (ABMIL),Pathomics,IFN-gamma Dominant,0.03947394773589452,267
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.3121332575350442,94
CONCH (ABMIL),Pathomics,Wound Healing,0.09874646422656441,214
