Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.1607188992305526,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.44281844060393805,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,-0.028075853921367244,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.05638039131265549,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.1635355968325325,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4076284359932357,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,-0.07358351709839983,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.09305190117763407,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.14253084131792138,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3969811441057619,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,-0.029995937868460665,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.11184542104085482,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.05713622850710243,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.15193578590155354,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.17715898603616131,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.1787465922471867,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.12101075487949431,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.19972447624466072,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.11548576240224695,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.042308936647028395,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.18111667590160296,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.408219625779769,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,-0.07052309079542818,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.08782373685917444,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.17529513555823983,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.41387715411067083,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,-0.03114366497214882,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.13668521082714313,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.1349213228182412,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.35530966814367126,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,-0.1149500289105525,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.04283274114447655,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.03412639032174081,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.25188788623524905,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.09082011556630865,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.18932280258070278,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.34477474859579393,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.10039554529805739,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.3576746460097142,214
