Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.31945426972992974,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.012891146118106933,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.2321751107361767,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.39033447255903553,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.44351142099523533,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.23714597093006062,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.2259426935686668,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.45420625091204003,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4502602734459631,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.31279860602576615,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.21066163060124432,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5138574313678368,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.21525623954408868,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.7147788854483803,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.3855978222738803,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.024481812502920475,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.1712610459977859,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.6097993393405996,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.4225496696799451,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.008403011300290197,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.40237084448576454,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.04418601958660118,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.28247583438392976,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.44078031091824854,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4791037674663561,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.20741274788255437,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.36644970027834456,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5074228039894305,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.43782360299783696,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.0844875324497637,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2506089769329427,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.46168031175818036,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.1785666894696336,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.6326060555099027,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.3567778984834198,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.046074101584010596,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.31192666059312013,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.1305209057984382,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.9247322610500872,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.5088354021724715,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.38861169692903885,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.038826750575312374,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.27063398559266727,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.4399284303695735,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.09398067402353716,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-1.1331853744515406,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.5097646394285653,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.1957530809104846,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.36048990404338643,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.03733455168297106,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.22189822005003634,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.40679418289466596,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.30246230893768866,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.032395563093791324,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.19165812972833352,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.3511799044621411,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4114256536360885,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.16301749959757583,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.3107498341048347,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.41286687785221876,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3471105548922384,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.016905542394078488,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.1961015650033342,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.37817016830767136,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.292629735429344,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.04892080895629802,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.1918850855858799,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.3538572058317959,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.422120399381262,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.14456876369707683,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.30545272492212705,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.4323508028067977,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3952750479027891,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.21446317455077746,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.27706093808924837,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.3969761222090674,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.36111095757655154,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.16743622064011476,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.10686535986725176,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.3243325586897825,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.315128032386468,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,-0.01641523105933662,94
CHIEF (MEAN),Pathomics,Wound Healing,0.2104243330193286,214
CHIEF (MEAN),Pathomics,Inflammatory,0.37829875945980884,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.373952290551539,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,-0.05906770396662031,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.21826612156020542,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.40620474142877405,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-0.14215207280158215,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.5965786379272093,94
LVMMed (SPARRA),Radiomics,Wound Healing,-0.3959335229038823,214
LVMMed (SPARRA),Radiomics,Inflammatory,-0.0532447920232717,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.12909359548566135,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-1.3633440689560192,94
LVMMed (ABMIL),Radiomics,Wound Healing,-0.8886404057544899,214
LVMMed (ABMIL),Radiomics,Inflammatory,-0.006127589015570312,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4124203166195862,267
