Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3487351602896276,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.33155985411839806,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.22611352998140288,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-0.14164998012261543,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.37330034369702414,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3488253161485906,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.289087894810353,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,-0.10767381792495057,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.36337632871659953,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2598570877095352,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.2666555650878919,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,-0.10768343758357513,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.0701933390624292,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.0030339606495786153,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.0332910081465867,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.3899133968839661,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.07326982941642979,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.09546617044843231,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.06353535044399561,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.47212945797035055,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.42180304126069235,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.42860980885815714,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3108485088143075,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,-0.16435497888150152,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.40892233377796194,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.38124861063684956,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.34954627077309797,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,-0.055503515595208164,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4403975355263623,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3275303210109979,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.3125762788001255,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,-0.06379544238081447,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.16141268025154643,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.026393941840226587,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.03636691804855996,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.5091315886650327,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.08742302525093582,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.272009538296369,94
FMCIB (MEAN),Radiomics,Wound Healing,0.013344574416370047,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.9087126417375964,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3887804469152638,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.4149496761356095,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.34386974207294596,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,-0.09648577129378344,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.11722751587736813,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.16490729430175688,94
pyradiomics (MEAN),Radiomics,Wound Healing,0.07323967551948818,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.6433415497940869,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.36797810276842835,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.37705330429139217,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.25103809339383953,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,-0.06238885399492955,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.32123509778724824,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.42520579866413744,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.25885813888758114,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,-0.05333293980272802,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.35151519581923596,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3377484369308359,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.32360464480198803,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.015067856513294897,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3633634445931544,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3757734499379942,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.3169613787497685,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,-0.043450202142671035,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.2718569711253217,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.44321097100114226,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.2644708173265955,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,-0.06542929048388402,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.3592175175220873,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.41006664147199756,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.32120067090220694,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.06244798493090886,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3728937033644114,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4306219142271278,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.284974119188382,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.03316028707665908,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3313139606875085,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.34868285556041734,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.1669932563882246,214
