Model,Omics,Subtype,R2,N
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.15952120117757518,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.3071203326324432,267
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3189956647917591,267
LVMMed (SPARRA),Radiomics,Inflammatory,0.15664785511361712,311
UNI (SPARRA),Pathomics,Inflammatory,0.6172259611458143,311
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.6218819258626131,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.1586505191510954,94
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.26063014422064945,94
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2931599214753987,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.19795689342790068,214
CHIEF (SPARRA),Pathomics,Wound Healing,0.3558802039350649,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.4079546587622904,214
