Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.2728807382758982,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.17982961061373037,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.31361649990272134,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.4666015270395458,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.30485694607085145,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2525428621799032,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.3324850398126227,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.48845569453392024,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.24926919556863014,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.07126307156095257,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.21058090461176415,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.4757749036040355,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.1368986479080907,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.3585165878892256,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.1072861488670045,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.09581831581869993,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.12870903894782149,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.652560139825481,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.08763334495490627,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.13048446650392853,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3189956647917591,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2463573567825308,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.30302251062137053,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.5745069105265799,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.2767860182742802,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2559770415722086,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.29436699823380363,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5992966035036703,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.2560040293567156,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2931599214753987,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2935428029085593,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.5429521237066469,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.15192332391251462,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.1586505191510954,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.19795689342790068,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.12282685825752737,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.2667857950290995,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.9419636227591575,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.19640243287933368,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.5406486378432995,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.26185334494455514,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.1791440279516876,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.31748413095621975,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.5969271377376023,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.016297951883215367,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.7072832948012613,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.14953920059863268,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.4636025245002904,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.2655554243301965,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.24962089959967293,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.2637551153806188,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.5783540036581184,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.2605885329237776,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.20139014173599323,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.37973943640746943,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.5447283371023475,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.27135603335598923,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.20721614375816433,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.39515574067016457,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.563323383615804,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3145569177981792,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.15369128619427552,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.3683978163334458,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.5088318288188842,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.24597281983753294,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.21604772312481035,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.3804515581066654,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.5663144296430733,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.2610210083285719,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.2492792645031131,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.3558802039350649,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.6123477106238293,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.24937763495251997,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.25179411807288743,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.4079546587622904,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.607047959923193,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.1302650087054933,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.12270968909048552,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.29859513918302827,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.4275403342255324,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.22250038781638015,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.2203699199187834,94
CHIEF (MEAN),Pathomics,Wound Healing,0.3365939531350901,214
CHIEF (MEAN),Pathomics,Inflammatory,0.5811820182645817,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.23392351205168105,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.23243496247047812,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.33624753482007064,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.5562314565065571,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.15952120117757518,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.27705666003552487,94
LVMMed (SPARRA),Radiomics,Wound Healing,0.11843155087777324,214
LVMMed (SPARRA),Radiomics,Inflammatory,0.15664785511361712,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.247142710089449,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-1.350297875309081,94
LVMMed (ABMIL),Radiomics,Wound Healing,-0.2566805126090739,214
LVMMed (ABMIL),Radiomics,Inflammatory,0.02264735164333931,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.2935457838756592,267
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.21285819404629036,94
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.3113952559111409,214
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.5952800682262722,311
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.3071203326324432,267
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.2511459389952232,94
UNI (SPARRA),Pathomics,Wound Healing,0.3149582366926722,214
UNI (SPARRA),Pathomics,Inflammatory,0.6172259611458143,311
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.2578144399367721,267
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.23451739232202795,94
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.3073468085987854,214
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.6218819258626131,311
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.24755305337063416,267
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.06583145934513635,94
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,0.26505723179986285,214
LVMMed+UNI (ABMIL),Radiopathomics,Inflammatory,0.5562290532523075,311
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.29783851249812043,267
