Model,Omics,Subtype,R2,N
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.02418362073631397,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.21584705306319407,267
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.18959903915446996,267
LVMMed (MEAN),Radiomics,Inflammatory,0.09182797892164041,311
UNI (SPARRA),Pathomics,Inflammatory,0.39834632287278593,311
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.3831666138823213,311
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.04886404701497993,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.4200225437027888,94
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4321540128799347,94
LVMMed (MEAN),Radiomics,Wound Healing,0.01669680722293132,214
UNI (SPARRA),Pathomics,Wound Healing,0.27508378376510134,214
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.259357102549837,214
