Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.12928285794416305,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.3570003607463057,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.17687015852474763,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.24825994076152957,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.13984650484084837,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3504511991311736,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.1868629639941537,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.2735450470147853,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.06910225352324173,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3772850452881178,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.158416479860242,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.3152156625871343,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.05786784961179192,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.04886404701497993,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.01215871488320841,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.04835593142833716,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.0392011096333833,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.15514576603779262,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.011806341658039399,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.08082125217563219,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.18959903915446996,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3735584876780832,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.23246713114026585,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.3388991747347282,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.17646181567726582,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.42055127664694125,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.25482826230261857,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.37662700399673577,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.13070202680711818,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.39046107986410994,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.1632992559888874,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.29558411363729686,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.027603811955238644,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.11013403498257612,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.0006778318126373639,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.03709875456077538,311
