Model,Omics,Subtype,R2,N
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.29599775439237064,267
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.22573250148126034,267
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.2315371698616019,267
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.7010465516528546,311
UNI (SPARRA),Pathomics,Inflammatory,0.1105816221470648,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.10171838352840068,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.1670744508947879,94
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.6649630758113032,94
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.6591692009371852,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.4722144966641135,214
CONCH (MEAN),Pathomics,Wound Healing,0.262304891648412,214
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.24555433291399364,214
