Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.2315371698616019,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.6297981725136103,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.24555433291399364,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-0.04775214951179518,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.21221368597241785,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.6355419049031718,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.23049354516191234,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.03294474873512743,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.103298594466817,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.6483492330366907,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.06060713094666548,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.06301895269383828,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.29599775439237064,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.08647765180870581,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.4722144966641135,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.7010465516528546,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.5460583438959785,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.09528767602744193,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.5469032291634528,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.867059041709417,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.18988053011468575,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.645560542952182,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.20788760985701493,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.053585761008022925,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.21900097295690435,267
