Model,Omics,Subtype,R2,N
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.22521905287100408,267
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.4498818157400424,267
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4692692298495167,267
FMCIB (MEAN),Radiomics,Inflammatory,0.054092238182913865,311
CONCH (MEAN),Pathomics,Inflammatory,0.6160707444688234,311
FMCIB+CHIEF (MEAN),Radiopathomics,Inflammatory,0.6210101293271365,311
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.22395525919774883,94
UNI (MEAN),Pathomics,Lymphocyte Depleted,0.541010705994601,94
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5700147516246705,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.2466380594071248,214
UNI (SPARRA),Pathomics,Wound Healing,0.42357185838457834,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.4392311404126351,214
