Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.339119693100535,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.5343302332142524,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.33625334405481244,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.5230086336358539,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.38904049068503366,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5187966112664182,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.3844101145361415,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.5605255793002617,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3323127398405179,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.4763764801455116,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.30006452953896934,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.47963795310101076,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.22521905287100408,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.22395525919774883,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.2466380594071248,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.017242488729147354,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.13122806403228293,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.14926114582738548,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.23699529959884036,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.09559070626830835,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.45068687162500154,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5700147516246705,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3919161815419102,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.5696254520011563,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4498626710381062,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5261828596219562,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.4077988269156171,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.6016642887899962,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4555698832745916,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.5306423665167617,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.3456005288348737,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.5787248662589,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.22299481879436533,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.21665292900470623,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.21052789274508865,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.05814719337915175,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.09564568801105788,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,0.18554102337491607,94
FMCIB (MEAN),Radiomics,Wound Healing,0.06147501812536227,214
FMCIB (MEAN),Radiomics,Inflammatory,0.054092238182913865,311
