Model,Omics,Subtype,R2,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.024205194543607145,267
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.6471144261115425,267
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.637306156475268,267
BiomedParse (SPARRA),Radiomics,Inflammatory,0.34997088674667576,311
UNI (SPARRA),Pathomics,Inflammatory,0.8514710071689596,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.8497337813229838,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.30591014385693527,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.8780761394738955,94
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.877186230294434,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.16577781303591044,214
CONCH (SPARRA),Pathomics,Wound Healing,0.5076289368156592,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.5231688163473495,214
