Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.60455508477816,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.793796572848889,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.4983627621607446,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.8095092325050995,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.637306156475268,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.8084862326434692,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.5231688163473495,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.8299710098007753,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.6049986567519527,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.8122875931356717,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.4748339789948216,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.8039093413674021,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.0413894499336247,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.19133933771397515,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.16577781303591044,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.34997088674667576,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.0492168420532384,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.13102368800082953,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.33317442977148537,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.291160509782707,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5854265915325956,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.8704340986317722,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.47435830515861954,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.8443299000230046,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.6142779939186792,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.877186230294434,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.45725314452862864,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.8497337813229838,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5856060753595265,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.8539012917505939,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.4527122376314934,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.8007726691914784,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.024205194543607145,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.30591014385693527,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.29542451239106815,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.2889863870040028,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.5918008724824939,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.16748955033033686,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.7562293208315918,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.08961331702909892,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5685661279158711,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.8685822004341821,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.4512296600020195,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.8358124261118032,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.15748559637868564,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.20348680426463317,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.2933363213660045,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.03881274105714971,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5745828817955345,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.8668483977461485,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.4605553481586895,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.8431624507903306,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.5208407276493352,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.8310537125771141,94
