Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.1548842566876769,257
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.2740401018548966,91
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.061521585250486344,209
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-0.49042263605551506,287
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.16951344665361268,257
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.27527163966088153,91
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.09640329351314514,209
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,-0.4610469889525375,287
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.14592413180519215,257
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2369714110081531,91
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.008148937025533098,209
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,-0.5371845896764635,287
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.16715903014550526,257
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.050708830726275744,91
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.18764939189209673,209
BiomedParse (SPARRA),Radiomics,Inflammatory,-1.6808997741722815,287
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.15644198140217935,257
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.10695263686472423,91
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.25713268426240066,209
BiomedParse (ABMIL),Radiomics,Inflammatory,-2.083956317765919,287
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.10322678722338252,257
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.33792433019234136,91
