Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.04575628037103363,257
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.21188267557818696,91
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.02834820094326862,209
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-0.23730336320156242,287
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.07129045066938222,257
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.18380562998196992,91
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.04326089712780179,209
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,-0.2659378748559045,287
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.08229210527818254,257
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.13059700341904157,91
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.013095066171768699,209
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,-0.26215988857147243,287
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.12260618287213743,257
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.013784041320505924,91
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.14895198348877559,209
BiomedParse (SPARRA),Radiomics,Inflammatory,-1.0543551091375618,287
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.15834207546099233,257
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.028663756550331043,91
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.13832670483547616,209
BiomedParse (ABMIL),Radiomics,Inflammatory,-1.0170498464100066,287
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.050655047760578054,257
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.24961177108086663,91
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.04614406453973696,209
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,-0.31383040349767755,287
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.04211125280850059,257
