Model,Omics,Subtype,R2,N
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.022806182102357075,257
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.18340893912780298,257
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.16991559848059845,257
BiomedParse (SPARRA),Radiomics,Inflammatory,-1.5843695219326905,287
CHIEF (SPARRA),Pathomics,Inflammatory,-0.32762130304533454,287
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,-0.38820621601697636,287
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.1768877431580721,91
UNI (MEAN),Pathomics,Lymphocyte Depleted,0.263768430185642,91
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.25227098474683785,91
FMCIB (MEAN),Radiomics,Wound Healing,-0.0353256009581564,209
UNI (SPARRA),Pathomics,Wound Healing,0.1392279966749841,209
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.1461239020896814,209
