Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.16991559848059845,257
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.18500990476751522,91
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.045437421278356815,209
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-0.5137757516491104,287
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.14857819637184655,257
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.25227098474683785,91
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.08018484102858092,209
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,-0.42636000089163417,287
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.13426617219255954,257
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.22460287476271001,91
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.0030151081778876376,209
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,-0.48573357164384734,287
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.09306962569902533,257
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.07582183976924006,91
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.12160316013904748,209
BiomedParse (SPARRA),Radiomics,Inflammatory,-1.5843695219326905,287
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.10100162917374567,257
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.12137393052610235,91
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.2087936296606967,209
BiomedParse (ABMIL),Radiomics,Inflammatory,-1.7027830437218299,287
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.13692275185676628,257
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.25048726617251327,91
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.10169061463549367,209
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,-0.4814288301696259,287
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.1327171274094311,257
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.19076516971207624,91
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.1295649400444857,209
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,-0.4117136103551797,287
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.113200451717974,257
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2219189527781571,91
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.10349283257793762,209
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,-0.48105368159453166,287
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.022806182102357075,257
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.1768877431580721,91
BiomedParse (MEAN),Radiomics,Wound Healing,-0.09668183231237881,209
BiomedParse (MEAN),Radiomics,Inflammatory,-1.6295636570837244,287
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.18582690450523498,257
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.024261764449823087,91
FMCIB (MEAN),Radiomics,Wound Healing,-0.0353256009581564,209
FMCIB (MEAN),Radiomics,Inflammatory,-2.5866457239457006,287
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.13233907234610898,257
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2155870526838931,91
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.1461239020896814,209
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,-0.44560009420966695,287
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.0994458856729783,257
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,0.021296878724934132,91
pyradiomics (MEAN),Radiomics,Wound Healing,-0.06038884290417834,209
pyradiomics (MEAN),Radiomics,Inflammatory,-2.4482805771718708,287
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.130050438043813,257
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.224849948526749,91
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.09774858484137583,209
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,-0.5304356737769813,287
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.07483792835959158,257
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.22223318495632471,91
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.059520149584794235,209
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,-0.6183098313576778,287
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.10926864127270552,257
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.21710727519800233,91
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.08584897682946735,209
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,-0.43753113459719906,287
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.07691223248348744,257
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2266297608417196,91
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.0038268816214369616,209
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,-0.6667851106459015,287
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.0808754481734878,257
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.11695741117547764,91
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.03778860419316643,209
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,-0.6322827477888651,287
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.1129763823502199,257
