Model,Omics,Subtype,R2,N
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.08152697885555171,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.4963884215831177,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4840139283620776,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.03947311215251281,311
CONCH (ABMIL),Pathomics,Inflammatory,0.5124011295038234,311
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.49498285578597556,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-1.0614003798460767,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.2662936180728348,94
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.22620786096974743,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.13652569339345666,214
CHIEF (SPARRA),Pathomics,Wound Healing,0.35441370652011417,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.3283903831732178,214
